Model: gaussian_naive_bayes
Accuracy: 0.48773661713820476
Mean Squared Error: 579.7940158762467
Confusion Matrix (as DataFrame):
      0    1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83
28     1    5   1   1   1   4   0   1   0   0   4   0   1   1   5   0   0   1   0   1   0   0   0   7   1   0   0   4   0   1   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   4   0   0  20   0   0  23   2   1   0   0   1   1   0   0
29     0    3   3   0   0   1   1   1   0   0   3   0   0   1   5   0   0   1   0   3   0   0   1   8   1   0   0   3   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0  25   0   0  21   2   1   0   0   5   1   0   0
30     1    3   0   1   0   5   1   3   0   0   2   0   1   0   2   0   0   1   0   0   0   0   2   2   0   0   0   3   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   3   0   0  19   0   0  23   1   0   0   0   1   2   0   0
31     0    2   2   1   0   1   1   0   0   1   0   0   0   3   0   0   0   3   0   2   0   0   0   3   0   0   0   5   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   4   0   0  20   0   0  17   2   0   0   0   1   1   0   0
32     0    2   1   1   0   1   0   1   0   1   0   1   1   0   0   0   0   1   0   2   0   0   2  11   0   0   0   2   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   3   0   0  16   0   0  12   0   0   0   0   1   1   0   0
33     1    0   0   2   0   6   0   2   0   1   3   0   1   3   6   0   0   1   0   0   0   0   0   8   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   0   0  20   0   1  11   0   0   0   0   1   3   0   0
34     0    1   0   2   0   4   1   1   1   0   0   0   0   0   1   0   1   0   0   1   0   0   0   3   0   0   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  15   0   0  14   2   1   0   0   3   2   0   0
35     0    0   0   0   0   1   4   0   0   0   1   0   0   4   0   0   0   1   0   0   0   0   1   4   0   0   1   3   0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   4   0   0  18   0   0  17   0   1   0   0   2   1   0   1
36     1    0   1   1   0   0   1   1   1   0   1   0   1   1   3   0   0   0   0   0   0   0   1   6   0   0   0   2   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   3   0   0   0   1   0   0  16   0   0  10   0   0   1   0   2   0   0   1
37     0    0   0   0   0   0   0   3   0   0   4   0   0   1   1   0   0   1   0   0   0   0   0   3   0   0   1   4   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0  18   0   0  12   1   0   2   0   3   3   0   0
